Jugador,market_value,matches_played,Acciones_que_crean_tiros,Toques_en_area_rival,Pases_recibidos,Acarreos_ultimo_tercio,days_left_on_contract,xAG,Pases_progresivos,npxG,Regates_exitosos,Pases_al_hueco,Pases_progresivos_recibidos,Perdida_balon,Veces_que_fue_barrido_regate,Malos_controles,Pases_fuera_de_juego,Faltas_cometidas,Edad_c,Edad_c2,GK,CB,WB,LW,RW,FW,market_value_num,target_log,Nacionalidad
Suat Serdar,4.5,22,1.3181818181818181,1.3636363636363635,17.954545454545453,0.9090909090909091,1035,0.04090909090909091,2.5454545454545454,0.09545454545454546,0.8636363636363636,0.13636363636363635,1.5909090909090908,0.6818181818181818,0.6818181818181818,1.0909090909090908,0.2727272727272727,1.5,1.9274957590792177,3.7152399012683697,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,4.5,1.7047480922384253,Germany
Sven Botman,42.0,8,0.5,1.375,24.625,0.125,669,0.075,0.875,0.0625,0.125,0.125,0.0,0.125,0.125,0.625,0.0,0.625,-0.8286686244824253,0.6866916892015947,0.0,1.0,0.0,0.0,0.0,0.0,42.0,3.7612001156935624,Netherlands
Taiwo Awoniyi,16.0,26,0.34615384615384615,0.8076923076923077,4.346153846153846,0.19230769230769232,669,0.0038461538461538464,0.2692307692307692,0.08076923076923077,0.15384615384615385,0.038461538461538464,0.7692307692307693,0.7307692307692307,0.19230769230769232,0.7307692307692307,0.0,0.3076923076923077,1.5521532933257909,2.4091798459820986,0.0,0.0,0.0,0.0,0.0,0.9038461538461539,16.0,2.833213344056216,Nigeria
Tajon Buchanan,6.0,19,0.8421052631578947,1.4210526315789473,9.578947368421053,0.631578947368421,1765,0.03684210526315789,0.3684210526315789,0.042105263157894736,0.6842105263157895,0.0,2.789473684210526,0.47368421052631576,0.5789473684210527,1.0526315789473684,0.05263157894736842,0.7368421052631579,0.09735877277784866,0.009478730636808765,0.0,0.0,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.05263157894736842,6.0,1.9459101490553132,Canada
Takefusa Kubo,30.0,36,3.1666666666666665,3.2777777777777777,27.444444444444443,1.75,1400,0.11944444444444444,3.0555555555555554,0.10277777777777779,2.0833333333333335,0.19444444444444445,6.055555555555555,1.3333333333333333,1.8333333333333333,2.4722222222222223,0.19444444444444445,0.5833333333333334,-2.223189172427631,4.9425700963994545,0.0,0.0,0.0,0.027777777777777776,0.2361111111111111,0.0,30.0,3.4339872044851463,Japan
Takuma Asano,2.5,21,1.0476190476190477,2.5238095238095237,10.761904761904763,0.5714285714285714,304,0.028571428571428574,0.9523809523809523,0.1285714285714286,0.2857142857142857,0.0,3.619047619047619,0.5714285714285714,0.7619047619047619,1.2857142857142858,0.0,0.23809523809523808,4.302838224832641,18.51441678908091,0.0,0.0,0.023809523809523808,0.09523809523809523,0.5,0.16666666666666666,2.5,1.252762968495368,Japan
Takumi Minamino,15.0,31,2.5806451612903225,4.354838709677419,22.870967741935484,0.9032258064516129,669,0.20967741935483872,3.6774193548387095,0.29354838709677417,0.3870967741935484,0.4838709677419355,6.225806451612903,0.7419354838709677,0.7741935483870968,1.8064516129032258,0.22580645161290322,1.0,4.138454663188806,17.126806999269178,0.0,0.0,0.0,0.15591397849462366,0.03225806451612903,0.0,15.0,2.772588722239781,Japan
Tanguy Ndombele,7.0,18,1.7222222222222223,1.3888888888888888,24.22222222222222,0.4444444444444444,304,0.13333333333333333,3.388888888888889,0.12777777777777777,1.3888888888888888,0.3333333333333333,2.0,1.1666666666666667,1.0555555555555556,1.5555555555555556,0.2222222222222222,0.5555555555555556,1.9631121974353825,3.853809499719576,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0794415416798357,France
Tanguy Nianzou,1.5,6,0.16666666666666666,1.0,43.833333333333336,0.5,669,0.0,1.6666666666666667,0.03333333333333333,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.6666666666666667,-3.8094905422906464,14.512218191801884,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.9162907318741551,France
Tanner Tessmann,6.0,25,0.72,0.8,27.16,0.64,1400,0.024,2.24,0.036000000000000004,0.4,0.04,1.08,0.44,0.36,0.48,0.0,0.56,-2.549216569687907,6.498505119171379,0.0,0.0,0.0,0.02,0.0,0.0,6.0,1.9459101490553132,United States
Tariq Lamptey,11.0,15,1.1333333333333333,0.7333333333333333,20.133333333333333,1.1333333333333333,304,0.05333333333333334,0.9333333333333333,0.02666666666666667,0.6666666666666666,0.0,3.0,0.3333333333333333,1.2,0.7333333333333333,0.06666666666666667,1.0,-1.5848330080440718,2.511695663386021,0.0,0.0,0.03333333333333333,0.0,0.1,0.0,11.0,2.4849066497880004,Ghana
Teo Barisic,0.8,1,0.0,0.0,1.0,0.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.565654925852289,30.976514753663853,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.5877866649021191,France
Terem Moffi,15.0,5,1.0,1.0,3.0,0.0,669,0.0,0.2,0.48,0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.2,-0.2149699943454415,0.04621209846887915,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.772588722239781,Nigeria
Tete Morente,2.0,31,1.967741935483871,1.2903225806451613,20.741935483870968,1.3870967741935485,669,0.04838709677419355,3.2903225806451615,0.08387096774193549,0.967741935483871,0.0967741935483871,4.645161290322581,0.4838709677419355,0.7096774193548387,1.3870967741935485,0.16129032258064516,0.8387096774193549,2.2590026083942867,5.1030927847321905,0.0,0.0,0.016129032258064516,0.6720430107526881,0.1774193548387097,0.0,2.0,1.0986122886681098,Spain
Teun Koopmeiners,35.0,27,2.185185185185185,1.7407407407407407,27.074074074074073,0.8518518518518519,1400,0.10370370370370371,3.111111111111111,0.13703703703703704,0.3333333333333333,0.14814814814814814,4.296296296296297,0.5555555555555556,0.4074074074074074,1.4074074074074074,0.18518518518518517,1.1481481481481481,0.9247560330518212,0.855173720665741,0.0,0.0,0.0,0.0,0.07407407407407407,0.09259259259259259,35.0,3.58351893845611,Netherlands
Theo Bair,1.8,29,0.5862068965517241,1.7241379310344827,7.517241379310345,0.13793103448275862,1035,0.041379310344827586,0.5517241379310345,0.10689655172413794,0.06896551724137931,0.0,1.4482758620689655,0.2413793103448276,0.20689655172413793,0.6206896551724138,0.0,0.6896551724137931,-0.4916823231125633,0.24175150686136712,0.0,0.0,0.0,0.0,0.0,0.8793103448275862,1.8,1.0296194171811581,Canada
Theo De Percin,0.3,2,0.0,0.0,11.0,0.0,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2533261587290028,5.077478777612403,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.262364264467491,Martinique
Thiago Almada,25.0,16,3.25,1.9375,40.75,2.125,1765,0.16875,6.0625,0.11875,0.5,0.3125,3.125,0.5625,0.3125,1.0625,0.5625,0.625,-2.135517939550919,4.5604368701438025,0.0,0.0,0.0,0.09375,0.125,0.0,25.0,3.258096538021482,Argentina
Thibault De Smet,2.5,5,0.0,0.2,18.8,0.0,669,0.0,1.8,0.02,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.2,0.40968753990113527,0.1678438803502443,0.0,0.8,0.0,0.0,0.0,0.0,2.5,1.252762968495368,Belgium
Thibaut Courtois,20.0,30,0.13333333333333333,0.0,21.666666666666668,0.0,304,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,6.81516699195593,46.44650112824564,1.0,0.0,0.0,0.0,0.0,0.0,20.0,3.044522437723423,Belgium
Thierno Barry,20.0,35,1.3142857142857143,3.6,13.857142857142858,1.0,1400,0.09142857142857143,0.7714285714285715,0.32857142857142857,0.5142857142857142,0.11428571428571428,3.5428571428571427,0.7714285714285715,0.7142857142857143,2.4571428571428573,0.0,1.3428571428571427,-3.601271364208454,12.969155438667821,0.0,0.0,0.0,0.014285714285714285,0.0,0.9714285714285714,20.0,3.044522437723423,France
