Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Virgil van Dijk,nl NED,CB,33-040,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,86,86,86,2,2,0,0,31,7,0.0,0.0,0.0,7,82,4,0,0,81,81,81,0,2,1,3,2,,0,0,0,0,74,0,0,0,3,75.0,€23.00m,30.06.2027
Jarell Quansah,eng ENG,CB,21-201,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,28,28,28,0,0,0,0,15,2,0.0,0.0,0.0,0,27,1,0,0,25,25,25,0,3,0,1,0,,0,0,0,0,22,0,2,0,2,50.0,€20.00m,30.06.2030
Ibrahima Konate,fr FRA,CB,25-084,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,30,30,30,0,0,1,1,17,0,0.0,0.0,0.0,1,28,2,0,0,28,28,28,0,2,0,0,0,100.0,0,0,0,0,23,0,0,0,3,75.0,€60.00m,30.06.2026
Trent AlexanderArnold,eng ENG,RB,25-315,"Saturday August 17, 2024",0,1,0.1,0.1,0.7,0.7,4,54,54,54,5,5,0,0,13,8,0.7,0.7,1.0,4,44,10,1,4,38,38,38,0,1,0,16,1,0.0,0,0,0,0,38,0,0,4,0,,€75.00m,30.06.2031
Conor Bradley,nir NIR,RB,21-039,"Saturday August 17, 2024",0,2,0.2,0.2,0.0,0.0,1,25,25,25,1,1,1,1,5,0,0.0,0.0,0.0,0,20,5,0,0,22,22,22,0,1,0,10,3,100.0,0,0,1,0,20,0,0,0,1,100.0,€30.00m,30.06.2029
Alisson,br BRA,GK,31-320,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,51,51,51,0,0,0,0,21,7,0.0,0.0,0.0,1,48,3,0,0,44,44,44,0,0,0,0,0,,0,0,0,0,43,0,0,0,0,,€20.00m,30.06.2027
Alexander Isak,se SWE,FW,24-331,"Saturday August 17, 2024",0,0,0.0,0.0,0.2,0.2,2,10,10,10,1,1,0,0,2,0,0.2,0.2,0.1,0,9,1,0,0,8,8,8,0,3,0,8,2,0.0,0,0,2,1,9,2,0,0,0,,€5.00m,30.06.2028
Alexander Isak,se SWE,FW,24-331,"Saturday August 17, 2024",0,0,0.0,0.0,0.2,0.2,2,10,10,10,1,1,0,0,2,0,0.2,0.2,0.1,0,9,1,0,0,8,8,8,0,3,0,8,2,0.0,0,0,2,1,9,2,0,0,0,,€120.00m,30.06.2028
Anthony Gordon,eng ENG,LW,23-175,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,2,18,18,18,2,2,1,1,2,0,0.0,0.0,0.0,0,14,4,0,3,11,11,11,0,0,0,13,1,50.0,1,2,1,0,13,4,0,3,0,0.0,€65.00m,-
Anthony Gordon,eng ENG,LW,23-175,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,2,18,18,18,2,2,1,1,2,0,0.0,0.0,0.0,0,14,4,0,3,11,11,11,0,0,0,13,1,50.0,1,2,1,0,13,4,0,3,0,0.0,€9.00m,30.06.2029
