Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Alex Meret,it ITA,GK,28-028,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,28,28,28,0,0,0,0,17,7,0.0,0.0,0.0,1,19,9,0,0,25,25,25,0,1,0,0,0,,0,0,0,0,17,0,0,0,0,,€18.00m,30.06.2027
Eldor Shomurodov,uz UZB,"FW,AM",29-294,"Saturday April 19, 2025",1,1,1.0,1.0,0.0,0.0,0,19,19,19,0,0,0,0,1,0,0.0,0.0,0.0,1,19,0,0,1,15,15,15,0,0,0,19,3,0.0,5,1,2,1,22,2,1,1,1,16.7,,
Stephan El Shaarawy,it ITA,AM,32-174,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,0,1,0,1,0,,0,0,2,0,3,0,0,0,0,,€3.50m,30.06.2026
Tommaso Baldanzi,it ITA,AM,22-027,"Saturday April 19, 2025",0,1,0.1,0.1,0.0,0.0,0,17,17,17,1,1,1,1,4,0,0.0,0.0,0.0,1,16,1,0,0,16,16,16,0,0,0,9,4,33.3,2,0,2,3,22,6,0,0,0,,€12.00m,30.06.2028
Niccolo Pisilli,it ITA,AM,20-208,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,6,6,6,1,1,0,0,3,0,0.0,0.0,0.0,0,6,0,0,0,5,5,5,0,0,0,1,0,0.0,1,0,0,2,2,0,0,0,0,0.0,€13.00m,30.06.2029
Matias Soule,ar ARG,"AM,WB",22-004,"Saturday April 19, 2025",0,2,0.3,0.3,1.0,1.0,4,45,45,45,3,3,1,1,11,2,1.0,1.0,0.0,1,43,2,0,2,41,41,41,0,2,0,28,4,33.3,1,2,3,2,46,12,0,2,0,0.0,€30.00m,30.06.2029
Devyne Rensch,nl NED,WB,22-091,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,2,0,0.0,0.0,0.0,0,1,2,0,0,3,3,3,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,,€10.00m,30.06.2029
Manu Kone,fr FRA,CM,23-337,"Saturday April 19, 2025",0,0,0.0,0.0,0.1,0.1,2,43,43,43,5,5,0,0,15,2,0.1,0.1,0.1,3,42,1,0,0,38,38,38,0,0,0,8,2,0.0,1,1,1,3,34,0,0,0,1,50.0,€40.00m,30.06.2029
Bryan Cristante,it ITA,CM,30-047,"Saturday April 19, 2025",0,0,0.0,0.0,0.3,0.3,3,52,52,52,6,6,0,0,18,2,0.3,0.3,0.1,5,50,2,0,1,38,38,38,0,0,0,9,1,,0,1,1,1,37,0,0,1,7,87.5,€7.00m,30.06.2027
Angelino,es ESP,WB,28-105,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,60,60,60,2,2,0,0,25,4,0.0,0.0,0.1,1,42,18,0,5,43,43,43,0,5,0,16,1,,0,0,0,0,35,5,1,5,0,,€20.00m,30.06.2028
Alexis Saelemaekers,be BEL,WB,25-296,"Saturday April 19, 2025",0,0,0.0,0.0,0.1,0.1,2,50,50,50,2,2,1,1,7,2,0.1,0.1,0.1,4,34,16,0,6,38,38,38,0,1,0,22,0,25.0,2,2,1,1,36,6,1,6,2,50.0,€17.00m,30.06.2027
Artem Dovbyk,ua UKR,FW,27-302,"Saturday April 19, 2025",0,1,0.1,0.1,0.0,0.0,0,4,4,4,0,0,1,1,2,0,0.0,0.0,0.0,0,4,0,0,0,4,4,4,0,0,0,5,2,100.0,0,0,3,0,7,1,0,0,0,0.0,€30.00m,30.06.2029
Obite NDicka,ci CIV,CB,25-242,"Saturday April 19, 2025",3,0,0.0,0.0,0.0,0.0,0,73,73,73,4,4,0,0,34,8,0.0,0.0,0.0,3,70,3,0,0,62,62,62,0,1,0,1,1,,0,0,2,0,65,0,0,0,1,50.0,€9999.99m,
Gianluca Mancini,it ITA,CB,29-002,"Saturday April 19, 2025",0,1,0.1,0.1,0.0,0.0,0,71,71,71,1,1,0,0,46,9,0.0,0.0,0.0,3,66,5,0,0,67,67,67,0,4,0,1,1,,0,0,0,0,57,0,1,0,4,66.7,€15.00m,30.06.2027
Zeki Celik,tr TUR,CB,28-061,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,75,75,75,8,8,0,0,21,4,0.0,0.0,0.0,4,73,2,0,1,55,55,55,0,4,1,4,0,,0,1,2,0,66,1,1,1,1,50.0,€6.00m,30.06.2026
Mile Svilar,rs SRB,GK,25-235,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,31,31,31,0,0,0,0,17,3,0.0,0.0,0.0,0,25,6,0,0,27,27,27,0,0,0,0,0,,0,0,0,0,16,0,0,0,0,,€25.00m,30.06.2030
Daniel Mosquera,co COL,FW,25-181,"Saturday April 19, 2025",0,4,0.3,0.3,0.0,0.0,5,23,23,23,2,2,1,1,6,0,0.0,0.0,0.0,3,22,1,0,0,14,14,14,0,1,0,11,4,50.0,1,1,2,0,22,5,0,0,4,44.4,€1.50m,30.06.2028
Cheikh Tidiane Niasse,sn SEN,"CM,FW",25-090,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,14,14,14,3,3,0,0,2,4,0.0,0.0,0.0,1,13,1,0,0,13,13,13,0,0,0,4,0,,0,1,0,0,13,0,0,0,0,,€2.50m,-
Amin Sarr,se SWE,FW,24-039,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,2,25,25,25,2,2,1,1,0,2,0.0,0.0,0.1,1,25,0,0,0,19,19,19,0,1,0,20,5,100.0,0,1,3,2,29,7,2,0,1,25.0,€5.00m,30.06.2029
Antoine Bernede,fr FRA,CM,25-328,"Saturday April 19, 2025",0,1,0.0,0.0,0.2,0.2,2,29,29,29,4,4,0,0,8,1,0.2,0.2,0.1,2,28,1,0,1,21,21,21,0,0,0,6,0,,0,0,0,1,20,0,2,1,0,,€2.50m,-
Tomas Suslov,sk SVK,"CM,RW",22-316,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,17,17,17,1,1,1,1,1,0,0.0,0.0,0.0,0,16,1,0,3,10,10,10,0,2,0,10,0,100.0,0,0,0,0,14,2,0,3,0,0.0,€6.00m,30.06.2027
Paweł Dawidowicz,pl POL,CM,29-334,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,23,23,23,0,0,0,0,11,0,0.0,0.0,0.0,4,23,0,0,0,20,20,20,0,0,0,0,0,,0,0,0,0,18,0,0,0,0,0.0,,
Suat Serdar,de GER,CM,28-008,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,16,16,16,0,0,0,0,2,1,0.0,0.0,0.0,1,16,0,0,1,12,12,12,0,1,0,5,1,,0,0,3,1,15,5,2,1,0,,€4.50m,30.06.2028
Ondrej Duda,sk SVK,CM,30-135,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,1,57,57,57,9,9,0,0,18,2,0.0,0.0,0.0,3,46,8,0,5,45,45,45,3,0,0,15,0,0.0,1,4,1,0,36,2,3,5,0,0.0,,
Dailon Livramento,cv CPV,LW,23-350,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,1,0,0,0,,€800k,30.06.2028
Domagoj Bradaric,hr CRO,"WB,LM",25-130,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,2,52,52,52,3,3,1,1,12,2,0.0,0.0,0.0,1,39,13,0,5,36,36,36,0,3,0,20,3,100.0,0,1,0,2,32,7,4,5,0,,€4.00m,30.06.2028
Jackson Tchatchoua,cm CMR,"WB,RM",23-217,"Saturday April 19, 2025",0,0,0.0,0.0,0.1,0.1,2,24,24,24,1,1,2,2,7,0,0.1,0.1,0.1,0,18,6,0,4,19,19,19,0,1,0,14,2,100.0,0,1,3,0,16,5,1,4,0,,€8.00m,30.06.2030
Nicolas Valentini,ar ARG,CB,24-013,"Saturday April 19, 2025",0,1,0.0,0.0,0.0,0.0,0,46,46,46,5,5,0,0,10,6,0.0,0.0,0.0,4,46,0,0,1,32,32,32,0,6,0,4,1,,0,0,0,0,33,0,2,1,6,85.7,€6.00m,30.06.2026
Martin Frese,dk DEN,CB,27-105,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,16,16,16,3,3,0,0,4,2,0.0,0.0,0.1,3,15,1,0,1,14,14,14,0,0,0,5,0,,0,1,0,0,14,2,0,1,0,,€2.00m,30.06.2027
Diego Coppola,it ITA,CB,21-112,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,49,49,49,2,2,0,0,31,4,0.0,0.0,0.0,2,49,0,0,0,44,44,44,0,6,0,0,0,,0,0,0,1,34,0,0,0,3,60.0,€10.00m,30.06.2030
Daniele Ghilardi,it ITA,CB,22-103,"Saturday April 19, 2025",0,2,0.1,0.1,0.0,0.0,0,40,40,40,3,3,0,0,17,2,0.0,0.0,0.0,2,36,4,0,1,28,28,28,0,5,0,9,3,0.0,1,3,1,0,33,2,1,1,3,100.0,€5.00m,30.06.2026
Lorenzo Montipo,it ITA,GK,29-058,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,1,28,28,28,0,0,0,0,8,8,0.0,0.0,0.0,0,18,10,0,0,19,19,19,0,0,0,0,0,,0,0,0,0,13,0,0,0,0,,€2.00m,30.06.2026
Lorenzo Montipo,it ITA,GK,29-058,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,1,28,28,28,0,0,0,0,8,8,0.0,0.0,0.0,0,18,10,0,0,19,19,19,0,0,0,0,0,,0,0,0,0,13,0,0,0,0,,€250k,30.06.2027
Sebastiano Esposito,it ITA,FW,22-292,"Sunday April 20, 2025",0,2,0.2,0.2,0.0,0.0,6,24,24,24,5,5,2,2,8,1,0.0,0.0,0.1,2,23,1,0,5,17,17,17,0,1,0,23,4,40.0,2,0,4,3,26,6,1,5,1,33.3,€8.50m,30.06.2026
Jacopo Fazzini,it ITA,AM,22-035,"Sunday April 20, 2025",1,2,0.7,0.7,0.0,0.0,1,20,20,20,1,1,1,1,4,2,0.0,0.0,0.0,0,20,0,0,0,14,14,14,0,2,0,16,3,33.3,1,0,2,0,19,6,0,0,0,0.0,€10.00m,30.06.2030
Lorenzo Colombo,it ITA,AM,23-043,"Sunday April 20, 2025",0,2,0.1,0.1,0.0,0.0,3,13,13,13,3,3,0,0,2,2,0.0,0.0,0.1,2,13,0,0,0,8,8,8,0,1,0,7,3,,0,2,6,0,18,5,2,0,3,42.9,€5.00m,30.06.2026
Tyronne Ebuehi,ng NGA,AM,29-125,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,11,11,11,3,3,1,1,2,0,0.0,0.0,0.0,1,9,2,0,0,9,9,9,0,0,0,8,2,100.0,0,0,1,1,6,0,0,0,0,0.0,,
Alberto Grassi,it ITA,CM,30-044,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,30,30,30,4,4,0,0,7,4,0.0,0.0,0.0,3,29,1,0,2,18,18,18,0,2,0,8,0,,0,0,1,0,20,3,3,2,1,100.0,€1.80m,30.06.2027
Liam Henderson,sct SCO,CM,28-360,"Sunday April 20, 2025",0,1,0.0,0.0,0.7,0.7,1,37,37,37,6,6,0,0,11,7,0.7,0.7,0.5,5,32,4,0,5,26,26,26,1,1,0,17,1,,0,2,0,0,27,2,2,5,0,,,
Faustino Anjorin,eng ENG,CM,23-148,"Sunday April 20, 2025",1,2,0.0,0.0,0.0,0.0,1,8,8,8,0,0,0,0,4,0,0.0,0.0,0.0,0,8,0,0,1,7,7,7,0,0,0,8,0,0.0,1,0,1,0,9,0,1,1,0,,€6.00m,30.06.2026
Liberato Cacace,nz NZL,WB,24-205,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,1,40,40,40,1,1,0,0,10,5,0.0,0.0,0.2,5,28,12,0,6,29,29,29,0,1,0,20,3,,0,1,1,0,18,3,2,6,0,0.0,,
Emmanuel Gyasi,gh GHA,WB,31-099,"Sunday April 20, 2025",0,0,0.0,0.0,0.1,0.1,2,36,36,36,5,5,0,0,10,1,0.1,0.1,0.1,0,23,13,0,1,27,27,27,0,3,0,22,2,,0,0,1,2,21,3,4,1,1,33.3,,
Ola Solbakken,no NOR,WB,26-225,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,7,7,7,0,0,0,0,0,0,0.0,0.0,0.0,0,6,1,0,0,7,7,7,0,0,0,6,1,,0,0,0,0,7,2,1,0,0,0.0,,
Mattia Viti,it ITA,CB,23-086,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,28,28,28,2,2,0,0,10,1,0.0,0.0,0.0,1,22,6,0,0,22,22,22,0,4,0,2,0,0.0,1,1,1,0,13,0,0,0,3,50.0,€5.50m,30.06.2026
Mattia Viti,it ITA,CB,23-086,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,28,28,28,2,2,0,0,10,1,0.0,0.0,0.0,1,22,6,0,0,22,22,22,0,4,0,2,0,0.0,1,1,1,0,13,0,0,0,3,50.0,€11.00m,30.06.2029
Luca Marianucci,it ITA,CB,20-271,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,36,36,36,1,1,0,0,17,7,0.0,0.0,0.0,2,34,2,0,0,29,29,29,0,6,0,2,1,,0,0,1,0,26,0,0,0,5,62.5,€7.50m,30.06.2030
Saba Goglichidze,ge GEO,CB,20-299,"Sunday April 20, 2025",0,1,0.1,0.1,0.0,0.0,1,21,21,21,2,2,1,1,8,3,0.0,0.0,0.0,1,17,4,0,1,14,14,14,0,5,0,6,2,100.0,0,2,2,1,15,3,2,1,2,40.0,€8.00m,30.06.2030
Devis Vasquez,co COL,GK,26-343,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,31,31,31,0,0,0,0,2,9,0.0,0.0,0.0,2,25,6,0,0,14,14,14,0,1,1,0,0,,0,0,1,0,15,0,0,0,1,100.0,€2.00m,30.06.2027
Christian Gytkjær,dk DEN,FW,34-349,"Sunday April 20, 2025",0,1,0.3,0.3,0.1,0.1,3,13,13,13,1,1,0,0,3,1,0.1,0.1,0.1,0,13,0,0,0,9,9,9,0,0,0,9,2,,0,0,1,0,14,4,0,0,3,33.3,€3.50m,-
Mirko Maric,hr CRO,FW,29-339,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,2,4,4,4,0,0,0,0,2,0,0.0,0.0,0.1,1,3,1,0,0,4,4,4,0,0,0,2,1,,0,0,0,1,3,0,1,0,2,100.0,,
Gianluca Busio,us USA,"FW,CM",22-327,"Sunday April 20, 2025",1,3,0.3,0.3,0.0,0.0,2,20,20,20,2,2,0,0,3,0,0.0,0.0,0.0,2,20,0,0,0,11,11,11,0,1,0,14,3,,0,1,2,1,19,2,1,0,3,75.0,,
Issa Doumbia,it ITA,CM,21-186,"Sunday April 20, 2025",0,1,0.1,0.1,0.0,0.0,1,23,23,23,1,1,1,1,2,0,0.0,0.0,0.0,1,22,0,0,1,14,14,14,1,1,0,9,1,100.0,0,0,0,1,21,4,0,1,1,50.0,,
John Yeboah,ec ECU,"FW,CM",24-301,"Sunday April 20, 2025",1,2,0.7,0.7,0.3,0.3,1,8,8,8,0,0,1,1,1,0,0.3,0.3,0.2,1,8,0,0,1,4,4,4,0,0,0,9,2,50.0,0,0,0,4,12,2,0,1,0,,,
Hans Nicolussi Caviglia,it ITA,CM,24-306,"Sunday April 20, 2025",0,3,0.1,0.1,0.5,0.5,3,40,40,40,3,3,0,0,11,7,0.5,0.5,0.3,4,35,5,0,2,30,30,30,0,1,0,8,1,0.0,0,0,1,0,26,0,1,2,1,100.0,,
Kike Perez,es ESP,CM,28-065,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,2,37,37,37,1,1,1,1,5,3,0.0,0.0,0.1,4,33,4,0,5,23,23,23,0,1,0,16,0,50.0,1,1,2,2,25,3,3,5,0,0.0,,
Alfred Duncan,gh GHA,CM,32-041,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,0,6,6,6,1,1,0,0,0,0,0.0,0.0,0.0,1,5,1,0,0,3,3,3,0,1,0,3,0,,0,0,0,2,8,0,1,0,0,,,
Mikael Ellertsson,is ISL,WB,23-040,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,1,27,27,27,1,1,0,0,10,0,0.0,0.0,0.0,0,22,5,0,1,19,19,19,0,2,0,9,0,,0,0,2,0,15,2,1,1,0,0.0,€3.40m,30.06.2029
Ridgeciano Haps,sr SUR,WB,31-312,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,,,
Alessio Zerbin,it ITA,WB,26-048,"Sunday April 20, 2025",0,0,0.0,0.0,0.1,0.1,5,38,38,38,3,3,0,0,12,0,0.1,0.1,0.0,2,27,11,0,6,27,27,27,0,3,0,20,3,0.0,1,1,2,0,24,3,2,6,1,100.0,€4.00m,30.06.2026
Fali Cande,gw GNB,CB,27-086,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,53,53,53,4,4,0,0,25,4,0.0,0.0,0.0,6,44,9,0,0,41,41,41,0,9,0,1,1,,0,0,0,0,32,1,3,0,7,70.0,€2.50m,30.06.2029
Jay Idzes,id IDN,CB,24-322,"Sunday April 20, 2025",0,1,0.5,0.5,0.0,0.0,1,42,42,42,1,1,0,0,29,3,0.0,0.0,0.0,0,38,4,0,0,38,38,38,0,3,0,1,1,,0,0,2,0,33,0,0,0,1,33.3,€7.50m,30.06.2029
Alessandro Marcandalli,it ITA,CB,22-207,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,36,36,36,2,2,0,0,13,3,0.0,0.0,0.0,1,34,2,0,0,25,25,25,0,3,0,0,0,,0,0,1,0,23,0,2,0,1,33.3,€2.00m,30.06.2029
Joel Schingtienne,be BEL,CB,22-251,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,6,6,6,1,1,0,0,4,0,0.0,0.0,0.0,0,6,0,0,0,6,6,6,0,1,0,0,0,,0,0,0,0,6,0,0,0,0,,,
Ionut Radu,ro ROU,GK,27-327,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,45,45,45,0,0,0,0,15,13,0.0,0.0,0.0,3,32,13,0,0,31,31,31,0,1,0,0,0,,0,0,0,0,22,0,0,0,1,100.0,€2.50m,30.06.2029
Thijs Dallinga,nl NED,FW,24-260,"Sunday April 20, 2025",0,1,0.2,0.2,0.0,0.0,0,17,17,17,2,2,0,0,4,1,0.0,0.0,0.0,1,17,0,0,1,13,13,13,0,1,0,14,2,,0,1,3,0,16,4,0,1,2,22.2,€12.00m,30.06.2028
Santiago Castro,ar ARG,FW,20-203,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3,1,,0,0,2,0,4,2,0,0,0,0.0,€3.00m,30.06.2026
Santiago Castro,ar ARG,FW,20-203,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3,1,,0,0,2,0,4,2,0,0,0,0.0,€35.00m,30.06.2028
Benjamin Dominguez,ar ARG,LW,21-213,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,2,13,13,13,1,1,1,1,1,1,0.0,0.0,0.0,0,13,0,0,0,10,10,10,0,0,0,18,3,50.0,1,1,2,3,15,3,2,0,0,0.0,€15.00m,30.06.2029
Riccardo Orsolini,it ITA,RW,28-086,"Sunday April 20, 2025",1,1,0.1,0.1,0.0,0.0,0,7,7,7,0,0,0,0,0,0,0.0,0.0,0.0,0,7,0,0,0,4,4,4,0,0,0,6,2,0.0,1,0,0,0,7,1,0,0,2,100.0,€25.00m,30.06.2027
Dan Ndoye,ch SUI,"RW,LW",24-177,"Sunday April 20, 2025",0,2,0.0,0.0,0.2,0.2,3,11,11,11,0,0,1,1,2,1,0.2,0.2,0.2,0,10,1,0,0,7,7,7,0,0,0,16,4,25.0,3,0,7,1,19,6,2,0,1,33.3,€35.00m,30.06.2030
Nicolo Cambiaghi,it ITA,LW,24-113,"Sunday April 20, 2025",0,1,0.1,0.1,0.0,0.0,3,9,9,9,1,1,1,1,3,0,0.0,0.0,0.2,0,9,0,0,3,6,6,6,0,0,0,10,4,100.0,0,1,0,0,8,1,0,3,0,,€8.50m,30.06.2029
Jens Odgaard,dk DEN,AM,26-020,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,3,12,12,12,5,5,0,0,5,1,0.0,0.0,0.0,2,11,0,0,0,11,11,11,1,0,0,4,0,,0,2,0,2,14,2,1,0,0,0.0,€12.00m,30.06.2027
Giovanni Fabbian,it ITA,AM,22-096,"Sunday April 20, 2025",0,1,0.2,0.2,0.1,0.1,1,1,1,1,0,0,0,0,0,0,0.1,0.1,0.0,0,1,0,0,0,1,1,1,0,0,0,3,2,,0,0,0,0,1,0,0,0,0,0.0,€12.00m,30.06.2028
Michel Aebischer,ch SUI,DM,28-104,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,1,39,39,39,2,2,0,0,12,8,0.0,0.0,0.0,5,36,3,0,2,33,33,33,0,0,0,9,0,,0,0,0,1,34,0,1,2,0,0.0,€7.50m,30.06.2026
Nikola Moro,hr CRO,DM,27-039,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,2,2,2,1,1,0,0,0,2,0.0,0.0,0.0,1,2,0,0,0,2,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,€1.00m,30.06.2027
Nikola Moro,hr CRO,DM,27-039,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,2,2,2,1,1,0,0,0,2,0.0,0.0,0.0,1,2,0,0,0,2,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,€4.50m,30.06.2027
Remo Freuler,ch SUI,DM,33-005,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,2,37,37,37,4,4,0,0,18,1,0.0,0.0,0.0,5,32,5,0,0,34,34,34,0,0,0,10,0,,0,3,2,1,26,1,3,0,0,,€5.00m,30.06.2026
Juan Miranda,es ESP,LB,25-091,"Sunday April 20, 2025",0,3,0.1,0.1,0.0,0.0,3,67,67,67,5,5,0,0,17,4,0.0,0.0,0.1,5,53,14,0,9,45,45,45,0,1,0,31,3,0.0,1,0,0,0,43,3,0,9,2,50.0,€15.00m,30.06.2027
Jhon Lucumi,co COL,CB,26-298,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,50,50,50,2,2,2,2,23,6,0.0,0.0,0.0,2,43,7,0,0,46,46,46,0,5,0,4,0,100.0,0,1,0,1,29,0,1,0,1,33.3,€22.00m,30.06.2027
Sam Beukema,nl NED,CB,26-154,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,1,33,33,33,2,2,0,0,17,3,0.0,0.0,0.0,3,29,4,0,2,27,27,27,0,5,0,5,0,,0,1,1,0,19,0,1,2,4,66.7,€28.00m,30.06.2030
Emil Holm,se SWE,RB,24-342,"Sunday April 20, 2025",0,1,0.1,0.1,0.3,0.3,2,38,38,38,2,2,0,0,9,5,0.3,0.3,0.2,1,27,11,0,5,26,26,26,0,5,0,16,2,,0,1,1,2,25,4,1,5,4,50.0,€8.00m,30.06.2028
Federico Ravaglia,it ITA,GK,25-160,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,46,46,46,0,0,0,0,13,13,0.0,0.0,0.0,2,36,10,0,0,28,28,28,0,0,0,0,0,,0,0,0,0,28,0,0,0,0,,€1.50m,30.06.2028
Joaquin Correa,ar ARG,FW,30-250,"Sunday April 20, 2025",0,1,0.1,0.1,0.0,0.0,3,22,22,22,1,1,0,0,7,0,0.0,0.0,0.0,1,21,1,0,1,18,18,18,0,1,0,12,3,0.0,1,0,1,0,22,3,1,1,0,0.0,,
Mehdi Taremi,ir IRN,FW,32-276,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,0,2,2,2,0,0,0,1,0,,0,0,1,1,3,2,1,0,2,50.0,€3.50m,30.06.2027
Lautaro Martinez,ar ARG,FW,27-241,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,1,18,18,18,2,2,0,0,4,1,0.0,0.0,0.0,3,18,0,0,0,12,12,12,0,1,0,9,3,0.0,2,1,2,0,19,6,1,0,2,100.0,€95.00m,30.06.2029
Marko Arnautovic,at AUT,FW,36-001,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,
Henrikh Mkhitaryan,am ARM,CM,36-089,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,25,25,25,2,2,0,0,10,0,0.0,0.0,0.0,2,24,1,0,0,22,22,22,0,2,0,5,0,,0,0,0,0,17,1,2,0,0,,€4.00m,30.06.2026
Davide Frattesi,it ITA,CM,25-180,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,4,4,4,1,1,0,0,1,0,0.0,0.0,0.0,0,4,0,0,0,4,4,4,0,3,0,1,0,,0,0,0,0,1,0,0,0,1,50.0,€35.00m,30.06.2028
Hakan Calhanoglu,tr TUR,CM,31-071,"Sunday April 20, 2025",0,0,0.0,0.0,0.4,0.4,7,60,60,60,8,8,0,0,23,6,0.4,0.4,0.4,4,50,10,1,7,47,47,47,0,1,0,17,0,,0,0,1,1,39,4,5,7,3,100.0,€30.00m,30.06.2027
Nicolo Barella,it ITA,CM,28-072,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,0,35,35,35,6,6,0,0,8,2,0.0,0.0,0.1,6,35,0,0,1,26,26,26,0,1,0,8,1,0.0,1,0,1,2,34,6,3,1,1,100.0,€75.00m,30.06.2029
Nicolo Barella,it ITA,CM,28-072,"Sunday April 20, 2025",0,1,0.0,0.0,0.0,0.0,0,35,35,35,6,6,0,0,8,2,0.0,0.0,0.1,6,35,0,0,1,26,26,26,0,1,0,8,1,0.0,1,0,1,2,34,6,3,1,1,100.0,€6.00m,30.06.2030
Carlos Augusto,br BRA,"WB,CB",26-103,"Sunday April 20, 2025",0,4,0.3,0.3,0.0,0.0,0,40,40,40,5,5,1,1,10,2,0.0,0.0,0.0,0,36,4,0,0,34,34,34,0,7,0,20,6,100.0,0,3,0,0,32,2,0,0,6,54.5,€26.00m,30.06.2028
