Jugador,Nacionalidad,Edad,market_value,contract_date,days_left_on_contract,last_seen,matches_played,GK,CB,RB,LB,WB,DM,CM,AM,LM,RM,LW,RW,FW,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value_num,target_log,Edad_c,Edad_c2
Pierre Kalulu,France,24.92876712328767,28.0,2029-06-30,1399,2025-05-10,28,0.0,0.8928571428571429,0.08928571428571429,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.25,0.017857142857142856,0.017857142857142856,0.014285714285714287,1.25,70.0,4.071428571428571,0.14285714285714285,29.357142857142858,3.4285714285714284,0.02142857142857143,4.642857142857143,66.21428571428571,3.7142857142857144,0.07142857142857142,0.7857142857142857,65.10714285714286,0.07142857142857142,2.392857142857143,0.03571428571428571,5.75,0.6071428571428571,36.36363636363637,0.17857142857142858,1.2857142857142858,0.6785714285714286,0.25,58.82142857142857,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.9285714285714286,35.38181818181818,28.0,3.367295829986474,-1.2657005271510116,1.6019978244303485
Pierre LeesMelou,France,31.97808219178082,6.0,2027-06-30,668,2025-05-17,20,0.0,0.0,0.0,0.0,0.0,0.35,0.6,0.025,0.0,0.0,0.0,0.025,0.0,0.1,1.1,0.06000000000000001,0.06000000000000001,0.14,2.6,52.85,5.25,0.6,19.45,7.05,0.10500000000000001,5.5,50.75,1.95,0.4,1.1,45.1,0.15,1.15,0.0,9.5,1.1,63.46153846153846,0.35,0.95,1.25,0.4,42.75,1.8,1.6,1.1,0.2,33.3375,6.0,1.9459101490553132,5.783614541342139,33.450197162824246
Pierrick Capelle,France,37.95616438356164,0.2,2026-06-30,303,2025-03-30,16,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0125,0.0125,0.06875,0.9375,14.4375,1.375,0.5,5.0,0.8125,0.03125,1.1875,13.9375,0.5,0.0625,0.625,11.5625,0.0,0.3125,0.0625,4.5625,0.4375,59.528571428571425,0.3125,0.25,0.9375,0.375,10.8125,1.0625,0.75,0.625,0.1875,33.333333333333336,0.2,0.18232155679395462,11.76169673312296,138.3375100419553
Pietro Comuzzo,Italy,20.257534246575343,25.0,2029-06-30,1399,2025-05-25,32,0.0,0.921875,0.046875,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.15625,0.0125,0.0125,0.018750000000000003,0.625,39.125,2.34375,0.0,19.9375,4.28125,0.0,2.125,37.84375,1.21875,0.0,0.09375,33.53125,0.0625,3.5,0.125,1.9375,0.28125,0.0,0.03125,0.34375,0.40625,0.125,30.34375,0.375,0.71875,0.09375,1.9375,61.8423076923077,25.0,3.258096538021482,-5.936933403863339,35.24717824190833
Pietro Terracciano,Italy,34.484931506849314,1.0,2026-06-30,303,2024-09-01,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,0.0,0.0,13.333333333333334,3.6666666666666665,0.0,0.0,25.0,4.666666666666667,0.0,0.0,23.333333333333332,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,,1.0,0.6931471805599453,8.290463856410632,68.73179095445106
Piotr Zielinski,Poland,30.994520547945207,10.0,2028-06-30,1034,2025-05-18,26,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.9807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.5769230769230769,0.1,0.038461538461538464,0.03461538461538462,1.5384615384615385,27.346153846153847,2.5,0.23076923076923078,9.576923076923077,1.3076923076923077,0.03076923076923077,2.9615384615384617,25.807692307692307,1.4615384615384615,0.07692307692307693,1.0769230769230769,24.46153846153846,0.07692307692307693,0.5,0.038461538461538464,6.8076923076923075,0.5384615384615384,32.5,0.34615384615384615,1.0384615384615385,0.3076923076923077,0.23076923076923078,22.615384615384617,0.9230769230769231,0.34615384615384615,1.0769230769230769,0.34615384615384615,83.3375,10.0,2.3978952727983707,4.800052897506525,23.040507818860785
Pol Lirola,Spain,27.75890410958904,4.0,2026-06-30,303,2025-05-17,19,0.0,0.3684210526315789,0.2631578947368421,0.07894736842105263,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.3157894736842105,0.03157894736842106,0.03157894736842106,0.03684210526315789,0.8421052631578947,20.894736842105264,1.105263157894737,0.05263157894736842,6.7368421052631575,0.47368421052631576,0.031578947368421054,0.7894736842105263,18.473684210526315,2.3684210526315788,0.05263157894736842,0.7368421052631579,17.36842105263158,0.05263157894736842,0.631578947368421,0.0,6.894736842105263,0.7368421052631579,33.333333333333336,0.10526315789473684,0.3684210526315789,0.3157894736842105,0.21052631578947367,16.05263157894737,2.1052631578947367,0.47368421052631576,0.7368421052631579,0.21052631578947367,45.0,4.0,1.6094379124341003,1.5644364591503575,2.447461434718908
Pol Lozano,Spain,25.63013698630137,5.0,2027-06-30,668,2025-05-24,30,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.43333333333333335,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.26666666666666666,0.0033333333333333335,0.0033333333333333335,0.02333333333333333,1.3333333333333333,27.6,3.8333333333333335,0.16666666666666666,10.566666666666666,2.2333333333333334,0.023333333333333334,3.1666666666666665,25.9,1.5666666666666667,0.13333333333333333,0.6333333333333333,23.133333333333333,0.13333333333333333,1.0333333333333334,0.0,5.233333333333333,0.03333333333333333,25.0,0.4,0.4,0.6,0.5,19.866666666666667,0.4,1.8666666666666667,0.6333333333333333,0.3333333333333333,44.43888888888889,5.0,1.791759469228055,-0.5643306641373123,0.3184690984856599
Pontus Almqvist,Sweden,25.786301369863015,2.5,2027-06-30,668,2025-04-23,29,0.0,0.017241379310344827,0.034482758620689655,0.0,0.0,0.017241379310344827,0.0,0.05172413793103448,0.0632183908045977,0.11494252873563218,0.1896551724137931,0.39080459770114945,0.1206896551724138,0.034482758620689655,0.896551724137931,0.06551724137931035,0.06551724137931035,0.04482758620689655,0.896551724137931,10.241379310344827,0.41379310344827586,0.6896551724137931,1.5862068965517242,0.2413793103448276,0.020689655172413793,0.13793103448275862,10.0,0.20689655172413793,0.0,0.3793103448275862,7.413793103448276,0.034482758620689655,0.27586206896551724,0.0,8.724137931034482,1.8275862068965518,46.34761904761905,0.9655172413793104,0.6206896551724138,1.0689655172413792,0.4482758620689655,11.03448275862069,2.9310344827586206,0.5172413793103449,0.3793103448275862,0.3103448275862069,38.888888888888886,2.5,1.252762968495368,-0.4081662805756672,0.16659971259897427
Portu,Spain,33.010958904109586,1.8,2027-06-30,668,2025-05-25,27,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.05555555555555555,0.21604938271604937,0.1111111111111111,0.07407407407407407,0.2222222222222222,0.12345679012345678,0.16049382716049382,0.037037037037037035,0.2962962962962963,0.05925925925925926,0.05925925925925926,0.05925925925925926,0.9259259259259259,8.777777777777779,0.5925925925925926,0.14814814814814814,1.962962962962963,0.25925925925925924,0.04814814814814815,0.4444444444444444,8.074074074074074,0.5925925925925926,0.037037037037037035,0.9629629629629629,6.2592592592592595,0.1111111111111111,0.07407407407407407,0.0,5.925925925925926,0.9259259259259259,40.471428571428575,0.18518518518518517,0.5555555555555556,0.4074074074074074,0.1111111111111111,7.925925925925926,2.925925925925926,0.5185185185185185,0.9629629629629629,0.37037037037037035,38.888888888888886,1.8,1.0296194171811583,6.816491253670904,46.46455301137193
