Jugador,market_value,matches_played,Acciones_que_crean_tiros,Toques_en_area_rival,Pases_recibidos,Acarreos_ultimo_tercio,days_left_on_contract,xAG,Pases_progresivos,npxG,Regates_exitosos,Pases_al_hueco,Pases_progresivos_recibidos,Perdida_balon,Veces_que_fue_barrido_regate,Malos_controles,Pases_fuera_de_juego,Faltas_cometidas,Edad_c,Edad_c2,GK,CB,WB,LW,RW,FW,market_value_num,target_log,Nacionalidad
Sebastian Otoa,6.0,3,0.0,0.0,16.0,0.0,1399,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.6666666666666667,-5.164330664137314,26.67031120854895,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.0,1.9459101490553132,Denmark
Sebastian Walukiewicz,4.5,31,0.6451612903225806,0.2903225806451613,23.451612903225808,0.41935483870967744,303,0.012903225806451613,2.838709677419355,0.009677419354838712,0.1935483870967742,0.0,1.096774193548387,0.16129032258064516,0.45161290322580644,0.3548387096774194,0.16129032258064516,1.064516129032258,-1.0574813490688193,1.11826680362841,0.0,0.5806451612903226,0.06451612903225806,0.0,0.0,0.0,4.5,1.7047480922384253,Poland
Sebastiano Esposito,8.5,33,2.393939393939394,2.878787878787879,21.575757575757574,0.7878787878787878,303,0.05757575757575758,2.8181818181818183,0.12121212121212122,0.8787878787878788,0.21212121212121213,3.212121212121212,1.5151515151515151,0.9393939393939394,2.6666666666666665,0.15151515151515152,1.4242424242424243,-3.2985772394797763,10.880611804814022,0.0,0.0,0.0,0.0,0.0,0.6060606060606061,8.5,2.2512917986064953,Italy
Sebastiano Luperto,4.0,36,0.8333333333333334,0.8055555555555556,33.05555555555556,0.4166666666666667,1034,0.03888888888888889,2.6666666666666665,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.08333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.6388888888888888,2.5151213906572067,6.325835609741442,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.6094379124341003,Italy
Seko Fofana,10.0,16,2.0,1.5625,32.125,1.125,1399,0.07500000000000001,4.5,0.11875,0.75,0.0625,2.375,0.375,0.6875,0.5625,0.125,0.5625,3.83292960983529,14.691349393952107,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.3978952727983707,Côte d'Ivoire
Sekou Doucoure,0.6,2,0.0,0.0,2.5,0.0,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.254741623041422,39.121792771006845,0.0,0.75,0.0,0.0,0.25,0.0,0.6,0.4700036292457355,France
Sekou Mara,5.0,25,0.4,1.2,8.92,0.24,1399,0.04,0.44,0.08,0.44,0.08,1.88,0.6,0.56,1.16,0.0,0.72,-3.3972073764660777,11.54101795871553,0.0,0.0,0.0,0.1,0.02,0.76,5.0,1.791759469228055,France
Senny Mayulu,15.0,20,1.9,2.0,21.9,0.95,668,0.1,2.3,0.14,0.75,0.0,2.8,1.05,0.85,1.05,0.1,1.0,-7.194467650438682,51.760364773208686,0.0,0.0,0.05,0.0,0.1,0.0,15.0,2.772588722239781,France
Sepp van den Berg,22.0,31,0.7096774193548387,1.5483870967741935,29.580645161290324,0.3225806451612903,1399,0.025806451612903226,2.5483870967741935,0.06451612903225806,0.12903225806451613,0.0,0.9032258064516129,0.22580645161290322,0.0967741935483871,0.4838709677419355,0.03225806451612903,0.7419354838709677,-2.767070390164708,7.65667854412627,0.0,0.6290322580645161,0.0,0.0,0.0,0.0,22.0,3.1354942159291497,Netherlands
Sergi Altimira,15.0,32,1.625,0.5625,33.25,0.4375,1399,0.053125000000000006,3.09375,0.05,0.5,0.125,0.9375,0.65625,0.21875,0.84375,0.03125,1.09375,-2.452001897014025,6.012313302960377,0.0,0.0,0.0,0.046875,0.0,0.0,15.0,2.772588722239781,Spain
Sergi Canos,1.5,17,1.1176470588235294,1.1764705882352942,9.647058823529411,0.35294117647058826,303,0.011764705882352941,0.5294117647058824,0.029411764705882353,0.058823529411764705,0.0,2.764705882352941,0.29411764705882354,0.7058823529411765,0.7647058823529411,0.058823529411764705,0.7058823529411765,2.08224467832844,4.335742900427108,0.0,0.0,0.0,0.29411764705882354,0.058823529411764705,0.058823529411764705,1.5,0.9162907318741551,Spain
Sergi Cardona,10.0,35,2.257142857142857,1.8,27.2,0.9714285714285714,668,0.16,2.2,0.05714285714285714,0.2857142857142857,0.05714285714285714,5.6571428571428575,0.3142857142857143,0.45714285714285713,0.6857142857142857,0.17142857142857143,1.0857142857142856,-0.3341936778359411,0.1116854143055128,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,2.3978952727983707,Spain
Sergi Darder,4.0,38,2.526315789473684,0.7631578947368421,27.105263157894736,1.5263157894736843,1034,0.10263157894736843,3.736842105263158,0.04473684210526316,0.8947368421052632,0.21052631578947367,2.1842105263157894,0.7894736842105263,0.7894736842105263,0.9473684210526315,0.21052631578947367,0.5526315789473685,5.224710431753099,27.297599095669653,0.0,0.0,0.0,0.2236842105263158,0.0,0.03508771929824561,4.0,1.6094379124341003,Spain
Sergi Roberto,1.5,12,1.9166666666666667,0.6666666666666666,31.083333333333332,0.8333333333333334,303,0.05000000000000001,2.3333333333333335,0.05833333333333333,0.16666666666666666,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.4166666666666667,1.1666666666666667,0.0,0.4166666666666667,6.983614541342142,48.77087206204541,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9162907318741551,Spain
